Server,TimeInterval,Network,CGI
GreatPlains,Irregular,recnet,http://gphyd1.bor.doi.net/gp-bin/webdaycsv.exe
GreatPlains,Daily,recnet,http://gphyd1.bor.doi.net/gp-bin/webarccsv.exe
GreatPlains,Monthly,recnet,no monthly url for gp region
GreatPlains,Irregular,www,https://www.usbr.gov/gp-bin/webdaycsv.pl
GreatPlains,Daily,www,https://www.usbr.gov/gp-bin/webarccsv.pl
GreatPlains,Monthly,www,no monthly url for gp region
PN,Irregular,recnet,http://lrgs1.pn.usbr.gov/pn-bin/api/instant
PN,Daily,recnet,http://lrgs1.pn.usbr.gov/pn-bin/api/daily
PN,Monthly,recnet,http://lrgs1.pn.usbr.gov/pn-bin/api/monthly
PN,Irregular,www,https://www.usbr.gov/pn-bin/v1/instant.pl
PN,Daily,www,https://www.usbr.gov/pn-bin/v1/daily.pl
PN,Monthly,www,https://www.usbr.gov/pn-bin/v1/monthly.pl
Yakima,Irregular,recnet,http://lrgs1.pn.usbr.gov/pn-bin/api/instant
Yakima,Daily,recnet,http://lrgs1.pn.usbr.gov/pn-bin/api/daily
Yakima,Monthly,recnet,http://lrgs1.pn.usbr.gov/pn-bin/api/monthly
Yakima,Irregular,www,https://www.usbr.gov/pn-bin/v1/instant.pl
Yakima,Daily,www,https://www.usbr.gov/pn-bin/v1/daily.pl
Yakima,Monthly,www,https://www.usbr.gov/pn-bin/v1/monthly.pl
LCHDB,Daily,recnet,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
LCHDB,Daily,www,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
LCHDB2,Daily,recnet,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
LCHDB2,Daily,www,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
UCHDB,Daily,recnet,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
UCHDB,Daily,www,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
UCHDB2,Daily,recnet,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
UCHDB2,Daily,www,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
YAOHDB,Daily,recnet,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
YAOHDB,Daily,www,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
ECOHDB,Daily,recnet,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
ECOHDB,Daily,www,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
LBOHDB,Daily,recnet,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
LBOHDB,Daily,www,http://ibr3lcrsrv01.bor.doi.net:8080/HDB_CGI.com
Custom,Irregular,recnet,http://a.b.c.d/pn-bin/api/instant
Custom,Daily,recnet,http://a.b.c.d/pn-bin/api/daily
Custom,Monthly,recnet,http://a.b.c.d/pn-bin/api/monthly
Custom,Irregular,www,https://www.usbr.gov/pn-bin/v1/instant.pl
Custom,Daily,www,https://www.usbr.gov/pn-bin/v1/daily.pl
Custom,Monthly,www,https://www.usbr.gov/pn-bin/v1/monthly.pl
